poste,competences_requises,competences_candidat,experience_requise,experience_candidat,diplome_requis,diplome_candidat,langues_requises,langues_candidat,score_compatibilite
UI/UX Designer,Illustrator; Prototypage; Figma; Adobe XD; Photoshop,UX Research; Adobe XD; Illustrator,2,6,Licence,Master,Anglais; Français,Français; Anglais,67.0
Data Analyst,Python; SQL; Excel; Data Visualization; Power BI,Pandas; Python; Power BI,2,3,Bac,Master,Français,Français,67.0
Graphiste,Typographie; Photoshop; Branding; Illustrator,Illustrator; Photoshop; Canva; Branding,2,5,Bac,Master,Français,Français,86.2
Social Media Manager,Meta Ads; Analytics; LinkedIn; TikTok; Instagram; Facebook,Meta Ads; LinkedIn; Instagram; Analytics; TikTok; Facebook,4,1,Licence,Licence,Français; Anglais,Français; Anglais,85.0
UI/UX Designer,Adobe XD; Illustrator; UX Research; Photoshop,Illustrator; UX Research; Figma; Prototypage,2,3,Bac,Master,Anglais; Français,Français,67.5
Content Manager,Canva; WordPress; Copywriting; SEO; Analytics; Content Strategy,Canva; WordPress; Analytics,2,5,Licence,Licence,Anglais,Français,62.5
UI/UX Designer,Illustrator; Prototypage; Figma,Figma,1,2,Master,Bac,Français; Anglais,Français; Anglais,55.8
SEO/SEA,SEM; Google Analytics; SEO; Google Ads; Search Console,Search Console; SEO; Keyword Research; SEM; Google Analytics; Google Ads,1,1,Licence,Bac,Français,Français; Anglais,92.5
Graphiste,Typographie; InDesign; Branding; Photoshop; Canva; Illustrator,Typographie; Canva; Branding; InDesign; Excel; Analytics,3,5,Bac,Bac,Français,Français,81.7
Community Manager,Copywriting; Facebook; TikTok,Aucune information,4,6,Master,Licence,Français; Anglais,Français; Anglais,37.5
Chef de projet digital,ClickUp; Scrum; Asana; Communication,Scrum; Agile; Asana; Communication; Gestion de projet; ClickUp,4,6,Licence,Licence,Anglais; Français,Français; Anglais,100.0
Chef de projet digital,Asana; Communication; Gestion de projet; Scrum,Instagram,3,8,Master,Bac,Français,Français,37.5
Developpeur Web,MySQL; Laravel; Git,HTML/CSS; JavaScript; MySQL,2,3,Licence,Licence,Anglais; Français,Français; Anglais,63.3
Graphiste,Photoshop; Branding; Illustrator; Typographie; InDesign,Illustrator; InDesign; Typographie; Canva; Photoshop; Branding; Firebase; UX Research,4,0,Licence,Bac,Français,Français,72.5
UI/UX Designer,Figma; UX Research; Photoshop; Adobe XD; Illustrator; Prototypage,Illustrator; Figma; Prototypage; Adobe XD; Photoshop; UX Research,3,5,Bac,Bac,Anglais,Français; Anglais,100.0
Developpeur Mobile,Flutter; Java; Git; Firebase,Java; Git,2,4,Master,Bac,Anglais; Français,Français; Anglais,65.0
Graphiste,InDesign; Photoshop; Illustrator; Branding,Aucune information,2,5,Master,Master,Français,Français,45.0
Developpeur Web,MySQL; HTML/CSS; Git; PHP,Aucune information,2,5,Licence,Bac,Anglais,Français,27.5
Developpeur Web,MySQL; JavaScript; HTML/CSS; Laravel,JavaScript; Git; HTML/CSS; PHP,1,3,Licence,Master,Anglais; Français,Français; Anglais,72.5
Developpeur Mobile,Kotlin; Java; Flutter; Firebase,Java; Git; Firebase; LinkedIn; Gestion de projet,3,6,Master,Licence,Français,Français,65.0
SEO/SEA,Google Analytics; SEO; Google Ads; SEM; Search Console,Aucune information,4,2,Licence,Bac,Français; Anglais,Français,22.5
Data Analyst,Data Visualization; Pandas; Power BI,Power BI; Data Visualization; Python; Pandas,4,2,Bac,Licence,Anglais,Français; Anglais,90.0
Developpeur Web,HTML/CSS; Laravel; MySQL; Git,PHP; Git; HTML/CSS; MySQL; JavaScript; Laravel,1,2,Master,Master,Français; Anglais,Français,95.0
Chef de projet digital,Scrum; ClickUp; Communication; Gestion de projet; Agile; Asana,Agile; Asana; Gestion de projet; ClickUp; Scrum; Communication,1,7,Licence,Licence,Anglais; Français,Français; Anglais,100.0
Chef de projet digital,Scrum; Communication; ClickUp; Agile; Gestion de projet,Communication; Scrum; ClickUp; Agile; Asana,1,5,Licence,Bac,Anglais; Français,Français,76.5
Data Analyst,Python; SQL; Power BI; Excel; Data Visualization; Pandas,Excel; Pandas; Power BI; SQL; Data Visualization; Python,4,3,Licence,Master,Anglais; Français,Français,90.0
Developpeur Mobile,Flutter; Kotlin; Git; Java; Dart; Firebase,Firebase; Git; TikTok; Agile,1,5,Licence,Bac,Anglais,Français; Anglais,55.8
SEO/SEA,SEM; Keyword Research; Google Ads; SEO,SEO; SEM; Google Analytics; Keyword Research; Search Console; Scrum,4,2,Master,Master,Anglais; Français,Français,71.3
Community Manager,Canva; Analytics; Facebook; Copywriting,Aucune information,4,5,Master,Licence,Anglais; Français,Français; Anglais,37.5
Developpeur Web,MySQL; Laravel; HTML/CSS; PHP; Git; JavaScript,Git; PHP,2,5,Master,Bac,Français,Français; Anglais,55.8
SEO/SEA,Google Ads; Search Console; Google Analytics; SEM,Google Analytics; SEO; SEM; Keyword Research; Search Console,3,1,Bac,Master,Anglais; Français,Français,67.9
Data Analyst,Python; Power BI; Data Visualization; SQL; Pandas,Aucune information,4,7,Licence,Bac,Anglais; Français,Français; Anglais,37.5
Content Manager,Analytics; WordPress; Canva; Copywriting,Aucune information,3,2,Master,Licence,Français; Anglais,Français; Anglais,30.8
Data Analyst,Power BI; Data Visualization; Excel; Pandas,Python; Power BI; Pandas; SQL; Data Visualization,4,3,Master,Licence,Anglais,Français; Anglais,73.8
Social Media Manager,Analytics; TikTok; Meta Ads,LinkedIn; Facebook; Instagram; TikTok; Meta Ads; Analytics,1,1,Licence,Bac,Français; Anglais,Français,87.5
Data Analyst,Pandas; SQL; Data Visualization; Power BI,SQL; Data Visualization; Excel; Python; Power BI; Pandas; Copywriting,2,3,Master,Master,Anglais,Français; Anglais,100.0
Developpeur Web,HTML/CSS; Git; PHP; MySQL,JavaScript; Laravel; PHP,1,6,Licence,Master,Anglais; Français,Français; Anglais,58.8
Developpeur Web,Git; HTML/CSS; JavaScript,JavaScript; Laravel; ClickUp,1,5,Licence,Master,Français; Anglais,Français; Anglais,63.3
Content Manager,Canva; Content Strategy; Analytics; WordPress; Copywriting,Canva; Analytics,2,0,Licence,Licence,Français; Anglais,Français; Anglais,47.0
UI/UX Designer,Figma; UX Research; Prototypage; Illustrator; Adobe XD; Photoshop,Figma; Illustrator; Photoshop; Prototypage; Adobe XD,3,5,Bac,Bac,Anglais,Français,80.8
Social Media Manager,Meta Ads; Analytics; Instagram,Meta Ads; TikTok; Agile,2,1,Master,Licence,Français; Anglais,Français,40.8
Data Analyst,Pandas; Excel; Python,Aucune information,2,6,Licence,Bac,Anglais; Français,Français; Anglais,37.5
Data Analyst,Power BI; Data Visualization; Pandas; SQL,Git; Scrum,2,1,Licence,Licence,Anglais; Français,Français; Anglais,35.0
Content Manager,Canva; Copywriting; SEO; Content Strategy; WordPress; Analytics,Git; PHP,4,1,Bac,Licence,Anglais; Français,Français,25.0
Community Manager,TikTok; Facebook; Copywriting; Instagram; Analytics,Aucune information,2,5,Bac,Bac,Français; Anglais,Français; Anglais,45.0
Developpeur Mobile,Java; Git; Kotlin; Firebase; Dart,Java,3,5,Bac,Licence,Français; Anglais,Français; Anglais,56.0
SEO/SEA,Keyword Research; SEO; SEM; Google Ads; Google Analytics; Search Console,Keyword Research; Google Ads; Google Analytics; Search Console,3,6,Bac,Master,Français,Français,81.7
UI/UX Designer,Adobe XD; UX Research; Prototypage; Photoshop; Figma,Prototypage; UX Research; Photoshop; Illustrator; Adobe XD,2,3,Master,Licence,Anglais; Français,Français; Anglais,81.5
Developpeur Web,JavaScript; PHP; MySQL; Laravel; Git,PHP; JavaScript; Git; Laravel; HTML/CSS,1,6,Bac,Master,Anglais; Français,Français,84.0
Chef de projet digital,Agile; ClickUp; Communication; Scrum,Communication,1,7,Master,Master,Français,Français; Anglais,58.8
Social Media Manager,LinkedIn; Analytics; TikTok; Meta Ads; Facebook,TikTok; Meta Ads,3,2,Bac,Bac,Français; Anglais,Français; Anglais,60.3
Social Media Manager,Analytics; LinkedIn; Instagram; TikTok; Facebook,Analytics; Meta Ads; Facebook; TikTok; Instagram,3,0,Master,Licence,Anglais; Français,Français; Anglais,61.5
Chef de projet digital,Scrum; Communication; Gestion de projet; Agile,Gestion de projet; Scrum; ClickUp; Agile; Asana; Communication,3,2,Bac,Master,Anglais,Français; Anglais,93.3
Graphiste,Branding; InDesign; Canva; Photoshop; Typographie; Illustrator,InDesign; Canva; Branding,4,6,Bac,Bac,Français,Français,72.5
Community Manager,Analytics; Canva; TikTok,Aucune information,1,2,Master,Licence,Anglais,Français,27.5
SEO/SEA,Google Ads; SEM; Google Analytics,Google Analytics; Google Ads; SEM; SEO,1,0,Licence,Licence,Anglais,Français,70.0
UI/UX Designer,Figma; Photoshop; Illustrator; Prototypage,Aucune information,2,6,Master,Bac,Anglais; Français,Français; Anglais,37.5
SEO/SEA,Google Analytics; Google Ads; Search Console,Keyword Research; SEM; SEO; Search Console; Google Ads,1,0,Bac,Master,Anglais,Français; Anglais,61.7
UI/UX Designer,Illustrator; Figma; Photoshop; Prototypage; Adobe XD,Aucune information,2,4,Master,Master,Anglais,Français,35.0
Developpeur Web,Git; PHP; HTML/CSS; Laravel; MySQL; JavaScript,JavaScript; MySQL; Laravel; PHP; Git; HTML/CSS,3,1,Bac,Master,Français; Anglais,Français; Anglais,86.7
UI/UX Designer,Figma; Illustrator; UX Research; Adobe XD,Photoshop; Prototypage,2,6,Bac,Master,Français,Français; Anglais,45.0
Graphiste,InDesign; Photoshop; Typographie; Illustrator; Branding,InDesign; Illustrator; Canva,3,2,Licence,Master,Français,Français,60.3
Developpeur Mobile,Flutter; Git; Dart; Firebase; Java; Kotlin,Java; Git; Dart,1,2,Bac,Licence,Anglais; Français,Français; Anglais,72.5
SEO/SEA,Search Console; SEO; Keyword Research; Google Analytics; Google Ads,Keyword Research,3,3,Master,Bac,Français,Français; Anglais,48.5
Social Media Manager,LinkedIn; Meta Ads; Facebook; TikTok; Analytics,Instagram; Meta Ads; TikTok; Analytics,4,2,Licence,Bac,Anglais; Français,Français,55.5
UI/UX Designer,Prototypage; Illustrator; Figma; Adobe XD; Photoshop; UX Research,Aucune information,2,3,Master,Bac,Anglais; Français,Français,32.5
Social Media Manager,Analytics; Facebook; TikTok; Instagram; Meta Ads,Instagram; Laravel,2,2,Licence,Master,Français,Français; Anglais,56.0
Data Analyst,Pandas; Python; Data Visualization; SQL,Pandas; Python; SQL; Power BI; Data Visualization; Excel,4,5,Master,Bac,Anglais; Français,Français,87.5
Content Manager,SEO; Canva; WordPress; Content Strategy,Analytics; SEO,2,4,Licence,Licence,Français,Français,58.8
Data Analyst,SQL; Excel; Python; Pandas; Power BI,SEO,2,4,Bac,Master,Français; Anglais,Français; Anglais,45.0
Content Manager,Canva; Content Strategy; Copywriting,Canva; WordPress,3,1,Licence,Licence,Anglais,Français; Anglais,50.0
Social Media Manager,TikTok; Analytics; Meta Ads; Instagram,LinkedIn; Illustrator,2,1,Licence,Bac,Anglais,Français; Anglais,27.5
Content Manager,SEO; Analytics; Copywriting; Canva; Content Strategy; WordPress,WordPress; Analytics; Canva,2,1,Licence,Bac,Anglais; Français,Français; Anglais,55.0
Community Manager,Copywriting; Canva; TikTok; Analytics; Facebook; Instagram,Facebook; Canva; Figma; Typographie,4,4,Bac,Licence,Anglais; Français,Français; Anglais,63.3
Data Analyst,Pandas; Data Visualization; Python; Power BI; Excel,Pandas,4,0,Licence,Bac,Anglais; Français,Français; Anglais,28.5
Chef de projet digital,Scrum; Gestion de projet; Communication; ClickUp; Asana; Agile,Gestion de projet; Asana; ClickUp; Agile; Scrum,4,1,Master,Licence,Anglais; Français,Français; Anglais,68.3
Chef de projet digital,Communication; Gestion de projet; Scrum; Asana; Agile,Aucune information,4,1,Bac,Bac,Français; Anglais,Français; Anglais,30.0
UI/UX Designer,UX Research; Adobe XD; Illustrator; Photoshop; Prototypage; Figma,Illustrator; Prototypage; UX Research; Adobe XD; Figma,2,4,Master,Licence,Anglais,Français; Anglais,83.3
Chef de projet digital,Scrum; Asana; Gestion de projet; Agile,ClickUp; Asana,3,4,Licence,Licence,Anglais,Français; Anglais,58.8
SEO/SEA,Google Ads; Google Analytics; SEO; Search Console; SEM,Keyword Research,3,4,Licence,Master,Anglais; Français,Français; Anglais,45.0
Content Manager,SEO; WordPress; Analytics; Copywriting,Analytics; Canva,2,0,Bac,Master,Anglais,Français,28.7
Chef de projet digital,Communication; Scrum; Asana; Gestion de projet; ClickUp; Agile,ClickUp,1,2,Master,Bac,Français,Français,46.7
Chef de projet digital,Communication; Asana; Agile; ClickUp,ClickUp; Gestion de projet,3,2,Master,Master,Anglais,Français; Anglais,52.1
Developpeur Mobile,Dart; Git; Firebase; Java; Flutter,Java,1,3,Master,Licence,Anglais; Français,Français; Anglais,48.5
Developpeur Mobile,Dart; Git; Firebase; Flutter,Firebase; Kotlin; Java; Git; Flutter; Dart,1,5,Licence,Bac,Français; Anglais,Français; Anglais,92.5
Community Manager,Canva; Copywriting; TikTok; Analytics,Instagram,1,3,Master,Master,Anglais; Français,Français,40.0
Data Analyst,Pandas; SQL; Data Visualization; Excel; Python; Power BI,Pandas; Data Visualization; SQL; Excel; Python; Power BI,3,7,Bac,Bac,Français,Français,100.0
Developpeur Mobile,Flutter; Git; Dart; Firebase; Java; Kotlin,Firebase; Flutter; Dart,1,0,Master,Licence,Anglais; Français,Français; Anglais,45.0
Developpeur Web,Git; PHP; MySQL,Git; HTML/CSS,4,3,Bac,Licence,Anglais,Français; Anglais,58.3
Social Media Manager,Instagram; Meta Ads; LinkedIn,Facebook; TikTok; LinkedIn; Meta Ads; Instagram; Analytics,2,1,Master,Licence,Français,Français; Anglais,82.5
Developpeur Mobile,Kotlin; Git; Flutter,Flutter; Git; Kotlin; Java,2,3,Bac,Licence,Français,Français; Anglais,100.0
Developpeur Web,JavaScript; MySQL; Laravel; HTML/CSS,HTML/CSS,3,3,Master,Licence,Français; Anglais,Français; Anglais,51.3
UI/UX Designer,Prototypage; Illustrator; Figma; Adobe XD; Photoshop; UX Research,Adobe XD; Prototypage; Illustrator,4,2,Licence,Master,Anglais,Français; Anglais,62.5
Developpeur Web,Git; JavaScript; Laravel; HTML/CSS; PHP; MySQL,MySQL; PHP; Laravel; JavaScript; Git; HTML/CSS,2,4,Licence,Bac,Anglais,Français,82.5
Content Manager,Canva; SEO; Copywriting; Content Strategy,Canva; SEO; Content Strategy; Analytics; WordPress,1,6,Bac,Licence,Français,Français; Anglais,86.2
Social Media Manager,TikTok; Analytics; LinkedIn; Instagram; Facebook,LinkedIn; Facebook,4,1,Licence,Master,Anglais,Français; Anglais,52.0
Content Manager,Copywriting; SEO; Content Strategy; Canva; WordPress; Analytics,Analytics; Canva; Content Strategy; WordPress; SEO; Meta Ads; Instagram,2,1,Licence,Master,Anglais; Français,Français,75.8
Developpeur Web,HTML/CSS; PHP; JavaScript,Laravel; PHP; HTML/CSS; MySQL; Git,4,4,Bac,Master,Français,Français,81.7
Chef de projet digital,Agile; Communication; ClickUp; Gestion de projet; Asana; Scrum,Aucune information,3,3,Bac,Bac,Français; Anglais,Français; Anglais,45.0
Social Media Manager,LinkedIn; Facebook; TikTok; Instagram; Analytics,Facebook; Analytics; Meta Ads; Instagram; TikTok,2,3,Master,Bac,Anglais,Français; Anglais,81.5
Chef de projet digital,Communication; Asana; Agile; Gestion de projet; ClickUp; Scrum,Aucune information,2,4,Master,Master,Anglais; Français,Français; Anglais,45.0
Social Media Manager,Instagram; Meta Ads; Analytics,LinkedIn; Meta Ads; TikTok; Instagram,4,1,Bac,Master,Français; Anglais,Français,61.7
Social Media Manager,Facebook; LinkedIn; Instagram,TikTok; LinkedIn; Meta Ads; Facebook; Instagram,1,3,Licence,Licence,Anglais; Français,Français; Anglais,100.0
SEO/SEA,Keyword Research; Google Analytics; Google Ads,Search Console; Google Ads; SEM; Keyword Research; Google Analytics,1,2,Bac,Licence,Français; Anglais,Français; Anglais,100.0
UI/UX Designer,Adobe XD; Illustrator; Prototypage,Prototypage; Figma,4,6,Bac,Licence,Français,Français,63.3
SEO/SEA,SEO; Keyword Research; Google Ads; Google Analytics; Search Console; SEM,Google Ads; SEO; Search Console,2,3,Bac,Licence,Anglais; Français,Français; Anglais,72.5
Community Manager,Analytics; Canva; Instagram; Copywriting,Copywriting; Canva,1,2,Bac,Licence,Français; Anglais,Français; Anglais,72.5
Community Manager,Copywriting; Instagram; Canva; Analytics; Facebook,Canva; TikTok,4,3,Licence,Licence,Anglais; Français,Français; Anglais,51.0
Content Manager,Analytics; Content Strategy; WordPress; Copywriting,Copywriting; WordPress; Canva; Analytics; SEO; Content Strategy,4,1,Master,Licence,Anglais,Français,67.5
SEO/SEA,SEM; Keyword Research; Search Console,Keyword Research; Search Console; SEO; SEM; Google Analytics,4,2,Master,Bac,Français; Anglais,Français; Anglais,82.5
SEO/SEA,SEM; SEO; Keyword Research; Search Console; Google Ads,SEM; Search Console,2,4,Master,Master,Anglais,Français; Anglais,67.0
Chef de projet digital,Asana; ClickUp; Agile,Asana; ClickUp,1,8,Master,Licence,Anglais,Français; Anglais,74.2
Chef de projet digital,Agile; Asana; Communication; Gestion de projet; ClickUp,Scrum; Gestion de projet; Communication; Asana; Agile,1,6,Licence,Licence,Français,Français; Anglais,89.0
UI/UX Designer,UX Research; Illustrator; Prototypage; Figma,Adobe XD; UX Research; Photoshop; Illustrator; Figma,2,6,Licence,Master,Anglais; Français,Français; Anglais,86.2
Chef de projet digital,Asana; ClickUp; Communication,ClickUp; Gestion de projet; Power BI; Canva,4,4,Master,Master,Français; Anglais,Français; Anglais,63.3
Developpeur Mobile,Firebase; Flutter; Dart; Git,Git; Kotlin; Dart; Java,2,5,Master,Master,Anglais; Français,Français,67.5
UI/UX Designer,Photoshop; Adobe XD; Prototypage; Illustrator; UX Research; Figma,Illustrator; Prototypage; UX Research; Adobe XD; Photoshop; Figma,3,3,Bac,Licence,Français; Anglais,Français; Anglais,100.0
Graphiste,Photoshop; InDesign; Illustrator; Branding; Canva,Photoshop; InDesign; Branding; Canva,2,0,Licence,Master,Français,Français,69.0
Graphiste,Photoshop; Illustrator; InDesign; Typographie; Branding; Canva,Illustrator; Typographie; InDesign; Canva; Branding; Photoshop,3,6,Bac,Bac,Français,Français,100.0
Developpeur Web,JavaScript; MySQL; Laravel; Git; HTML/CSS,Git; PHP; MySQL; HTML/CSS; JavaScript; Laravel; TikTok; Analytics,3,1,Master,Master,Français; Anglais,Français; Anglais,86.7
Community Manager,Canva; Analytics; Facebook; TikTok; Copywriting; Instagram,Copywriting; Facebook,3,6,Master,Master,Anglais; Français,Français; Anglais,63.3
Social Media Manager,Meta Ads; LinkedIn; Instagram,TikTok; Analytics; Instagram; Meta Ads; LinkedIn; Facebook,4,6,Bac,Bac,Anglais; Français,Français; Anglais,100.0
Developpeur Mobile,Git; Kotlin; Flutter; Dart,Firebase; Branding,2,0,Master,Licence,Anglais,Français,7.5
SEO/SEA,Search Console; Google Ads; SEM; Google Analytics; SEO,Aucune information,1,4,Bac,Master,Anglais,Français; Anglais,45.0
Social Media Manager,LinkedIn; Instagram; Analytics,Aucune information,1,2,Bac,Bac,Français; Anglais,Français; Anglais,45.0
UI/UX Designer,Prototypage; UX Research; Figma,Prototypage; Illustrator; Adobe XD,2,1,Licence,Bac,Français; Anglais,Français; Anglais,45.8
SEO/SEA,Google Ads; Search Console; Google Analytics; SEM; SEO,Keyword Research,2,1,Master,Master,Français; Anglais,Français; Anglais,35.0
Graphiste,Canva; Photoshop; Illustrator; Typographie; Branding; InDesign,Branding; Canva; InDesign; Typographie; Photoshop; Illustrator,3,6,Licence,Bac,Français,Français,92.5
Developpeur Mobile,Firebase; Dart; Flutter,Git; Flutter; Dart; Kotlin; Java,1,4,Licence,Bac,Anglais; Français,Français,69.2
Social Media Manager,Meta Ads; Facebook; TikTok; LinkedIn; Instagram; Analytics,Aucune information,1,4,Bac,Bac,Anglais,Français; Anglais,45.0
Developpeur Web,HTML/CSS; PHP; Laravel; Git,HTML/CSS,3,2,Master,Master,Français; Anglais,Français,47.1
SEO/SEA,Keyword Research; SEO; Google Analytics; SEM; Search Console,Keyword Research; Google Ads; Google Analytics; SEO; Search Console; SEM,4,5,Licence,Master,Français; Anglais,Français; Anglais,100.0
Developpeur Web,Laravel; PHP; Git,PHP; JavaScript; Git; HTML/CSS; Laravel; MySQL,3,5,Licence,Licence,Français,Français; Anglais,100.0
Social Media Manager,Meta Ads; Facebook; Instagram,Aucune information,2,6,Master,Licence,Anglais,Français,27.5
Developpeur Mobile,Flutter; Firebase; Dart; Git; Java; Kotlin,Flutter,4,0,Licence,Bac,Français; Anglais,Français; Anglais,26.7
Developpeur Web,HTML/CSS; MySQL; PHP; Git; JavaScript; Laravel,Aucune information,4,6,Bac,Master,Anglais,Français; Anglais,45.0
Developpeur Mobile,Java; Dart; Git,Dart; Kotlin; Firebase; Java; Git,1,3,Master,Master,Anglais,Français,90.0
Chef de projet digital,Scrum; Agile; Communication; Gestion de projet; Asana,Asana; ClickUp; Agile,2,3,Bac,Licence,Anglais,Français; Anglais,67.0
Developpeur Mobile,Dart; Firebase; Flutter,Dart; Firebase; Git; Java; Flutter,2,2,Licence,Bac,Français,Français; Anglais,92.5
Chef de projet digital,Agile; ClickUp; Communication; Gestion de projet,Scrum,1,5,Bac,Master,Français,Français; Anglais,45.0
Content Manager,WordPress; Analytics; Content Strategy; Canva; SEO,WordPress; SEO; Canva,2,3,Bac,Licence,Français; Anglais,Français; Anglais,78.0
Social Media Manager,Instagram; TikTok; Meta Ads; Analytics,LinkedIn; Meta Ads; Analytics; Facebook,2,1,Bac,Licence,Anglais,Français; Anglais,62.5
Data Analyst,Power BI; Excel; Data Visualization,Python,4,3,Licence,Bac,Anglais; Français,Français,27.5
Chef de projet digital,Gestion de projet; Scrum; Communication; Agile; Asana,ClickUp; Asana; Scrum; Agile; Canva,2,5,Licence,Master,Français,Français; Anglais,78.0
Content Manager,Content Strategy; SEO; Canva; Copywriting,Aucune information,3,0,Bac,Master,Français; Anglais,Français; Anglais,25.0
Content Manager,SEO; Copywriting; Analytics; Canva,WordPress; Content Strategy; Copywriting; Analytics; SEO; Canva,1,2,Bac,Licence,Français,Français; Anglais,100.0
SEO/SEA,Search Console; Google Analytics; Google Ads; Keyword Research; SEM; SEO,Search Console; Agile; Instagram,2,6,Licence,Master,Anglais; Français,Français; Anglais,54.2
Content Manager,Analytics; Content Strategy; WordPress; SEO,Copywriting; SEO,2,0,Licence,Master,Français,Français,38.7
Developpeur Web,Laravel; HTML/CSS; PHP; JavaScript; MySQL,Git; HTML/CSS; Laravel,1,3,Master,Licence,Français,Français; Anglais,59.5
Chef de projet digital,Scrum; ClickUp; Agile; Gestion de projet,Aucune information,3,6,Bac,Bac,Anglais; Français,Français,40.0
Developpeur Mobile,Java; Kotlin; Git; Firebase; Flutter,Flutter,4,1,Master,Licence,Anglais,Français,23.5
Community Manager,Instagram; Facebook; Copywriting; Analytics; TikTok,Aucune information,2,5,Bac,Master,Français; Anglais,Français; Anglais,45.0
Developpeur Web,Laravel; MySQL; PHP; HTML/CSS,MySQL; PHP; Git; JavaScript; Laravel,1,2,Licence,Bac,Anglais; Français,Français; Anglais,78.8
Chef de projet digital,Scrum; Asana; Agile; ClickUp; Gestion de projet,Agile; ClickUp; Gestion de projet; Asana,1,7,Master,Master,Anglais; Français,Français,84.0
Developpeur Mobile,Kotlin; Flutter; Dart; Java; Git; Firebase,Aucune information,2,5,Bac,Licence,Français,Français; Anglais,45.0
Content Manager,Copywriting; WordPress; Content Strategy; SEO; Analytics,Aucune information,3,1,Licence,Master,Français; Anglais,Français; Anglais,31.7
Developpeur Mobile,Firebase; Java; Kotlin,Illustrator,4,4,Licence,Master,Anglais; Français,Français,40.0
SEO/SEA,Search Console; Google Ads; SEO; Google Analytics; Keyword Research,Google Analytics; Search Console; Keyword Research; Google Ads; SEO; SEM; Copywriting,3,6,Licence,Licence,Anglais,Français; Anglais,100.0
Developpeur Mobile,Git; Dart; Kotlin; Firebase,Aucune information,4,4,Master,Licence,Français; Anglais,Français; Anglais,37.5
Content Manager,SEO; Analytics; Content Strategy,Aucune information,1,5,Bac,Bac,Anglais,Français; Anglais,45.0
