poste,competences_requises,competences_candidat,experience_requise,experience_candidat,diplome_requis,diplome_candidat,langues_requises,langues_candidat,score_compatibilite,taux_competences,taux_experience,taux_diplome,taux_langues,poids_competences,poids_experience,poids_diplome,poids_langues
UI/UX Designer,Figma; UX Research; Photoshop; Adobe XD; Illustrator; Prototypage,Illustrator; Figma; Prototypage; Adobe XD; Photoshop; UX Research,3,5,Bac,Bac,Anglais (avancé),Français (avancé); Anglais (débutant),90.67,1.0,1.0,1.0,0.3333333333333333,0.51,0.24,0.11,0.14
Developpeur Mobile,Flutter; Java; Git; Firebase,Java; Git,2,4,Master,Bac,Anglais (débutant); Français (intermédiaire),Français (courant); Anglais (intermédiaire),70.83,0.5,1.0,0.3333333333333333,1.0,0.45,0.34,0.1,0.11
Graphiste,InDesign; Photoshop; Illustrator; Branding,Aucune information,2,5,Master,Master,Français (intermédiaire),Français (intermédiaire),50.0,0.0,1.0,1.0,1.0,0.5,0.33,0.1,0.07
Developpeur Web,MySQL; HTML/CSS; Git; PHP,Aucune information,2,5,Licence,Bac,Anglais (débutant),Français (avancé),35.0,0.0,1.0,0.5,0.0,0.46,0.25,0.2,0.09
Developpeur Web,MySQL; JavaScript; HTML/CSS; Laravel,JavaScript; Git; HTML/CSS; PHP,1,3,Licence,Master,Anglais (intermédiaire); Français (avancé),Français (courant); Anglais (courant),69.2,0.5,1.0,1.2,1.0,0.64,0.23,0.06,0.07
Developpeur Mobile,Kotlin; Java; Flutter; Firebase,Java; Git; Firebase; LinkedIn; Gestion de projet,3,6,Master,Licence,Français (avancé),Français (intermédiaire),55.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.79,0.06,0.08,0.07
SEO/SEA,Google Analytics; SEO; Google Ads; SEM; Search Console,Aucune information,4,2,Licence,Bac,Français (courant); Anglais (avancé),Français (intermédiaire),7.5,0.0,0.5,0.5,0.25,0.82,0.06,0.06,0.06
Data Analyst,Data Visualization; Pandas; Power BI,Power BI; Data Visualization; Python; Pandas,4,2,Bac,Licence,Anglais (courant),Français (intermédiaire); Anglais (avancé),83.1,1.0,0.5,1.2,0.75,0.28,0.28,0.18,0.26
Developpeur Web,HTML/CSS; Laravel; MySQL; Git,PHP; Git; HTML/CSS; MySQL; JavaScript; Laravel,1,2,Master,Master,Français (courant); Anglais (courant),Français (intermédiaire),92.5,1.0,1.0,1.0,0.25,0.63,0.18,0.09,0.1
Chef de projet digital,Scrum; ClickUp; Communication; Gestion de projet; Agile; Asana,Agile; Asana; Gestion de projet; ClickUp; Scrum; Communication,1,7,Licence,Licence,Anglais (débutant); Français (intermédiaire),Français (courant); Anglais (débutant),100.0,1.0,1.0,1.0,1.0,0.7,0.15,0.08,0.07
Chef de projet digital,Scrum; Communication; ClickUp; Agile; Gestion de projet,Communication; Scrum; ClickUp; Agile; Asana,1,5,Licence,Bac,Anglais (débutant); Français (avancé),Français (courant),74.8,0.8,1.0,0.5,0.5,0.56,0.16,0.15,0.13
Data Analyst,Python; SQL; Power BI; Excel; Data Visualization; Pandas,Excel; Pandas; Power BI; SQL; Data Visualization; Python,4,3,Licence,Master,Anglais (débutant); Français (avancé),Français (intermédiaire),87.48,1.0,0.75,1.2,0.3333333333333333,0.41,0.29,0.17,0.13
Developpeur Mobile,Flutter; Kotlin; Git; Java; Dart; Firebase,Firebase; Git; TikTok; Agile,1,5,Licence,Bac,Anglais (courant),Français (intermédiaire); Anglais (avancé),48.75,0.3333333333333333,1.0,0.5,0.75,0.66,0.13,0.08,0.13
SEO/SEA,SEM; Keyword Research; Google Ads; SEO,SEO; SEM; Google Analytics; Keyword Research; Search Console; Scrum,4,2,Master,Master,Anglais (avancé); Français (intermédiaire),Français (avancé),69.0,0.75,0.5,1.0,0.5,0.58,0.23,0.09,0.1
Community Manager,Canva; Analytics; Facebook; Copywriting,Aucune information,4,5,Master,Licence,Anglais (intermédiaire); Français (avancé),Français (courant); Anglais (avancé),70.0,0.0,1.0,0.6666666666666666,1.0,0.27,0.54,0.09,0.1
Developpeur Web,MySQL; Laravel; HTML/CSS; PHP; Git; JavaScript,Git; PHP,2,5,Master,Bac,Français (courant),Français (avancé); Anglais (intermédiaire),58.08,0.3333333333333333,1.0,0.3333333333333333,0.75,0.32,0.19,0.2,0.29
SEO/SEA,Google Ads; Search Console; Google Analytics; SEM,Google Analytics; SEO; SEM; Keyword Research; Search Console,3,1,Bac,Master,Anglais (courant); Français (intermédiaire),Français (avancé),68.73,0.75,0.3333333333333333,1.2,0.5,0.6,0.07,0.07,0.26
Data Analyst,Python; Power BI; Data Visualization; SQL; Pandas,Aucune information,4,7,Licence,Bac,Anglais (intermédiaire); Français (courant),Français (avancé); Anglais (débutant),28.88,0.0,1.0,0.5,0.625,0.61,0.14,0.06,0.19
Content Manager,Analytics; WordPress; Canva; Copywriting,Aucune information,3,2,Master,Licence,Français (courant); Anglais (courant),Français (intermédiaire); Anglais (débutant),38.17,0.0,0.6666666666666666,0.6666666666666666,0.375,0.34,0.38,0.08,0.2
Data Analyst,Power BI; Data Visualization; Excel; Pandas,Python; Power BI; Pandas; SQL; Data Visualization,4,3,Master,Licence,Anglais (débutant),Français (avancé); Anglais (intermédiaire),75.17,0.75,0.75,0.6666666666666666,1.0,0.31,0.11,0.43,0.15
Social Media Manager,Analytics; TikTok; Meta Ads,LinkedIn; Facebook; Instagram; TikTok; Meta Ads; Analytics,1,1,Licence,Bac,Français (courant); Anglais (avancé),Français (courant),85.5,1.0,1.0,0.5,0.5,0.21,0.5,0.23,0.06
Data Analyst,Pandas; SQL; Data Visualization; Power BI,SQL; Data Visualization; Excel; Python; Power BI; Pandas; Copywriting,2,3,Master,Master,Anglais (courant),Français (avancé); Anglais (courant),100.0,1.0,1.0,1.0,1.0,0.25,0.41,0.05,0.29
Developpeur Web,HTML/CSS; Git; PHP; MySQL,JavaScript; Laravel; PHP,1,6,Licence,Master,Anglais (courant); Français (intermédiaire),Français (courant); Anglais (avancé),61.03,0.25,1.0,1.2,0.875,0.5,0.2,0.07,0.23
Developpeur Web,Git; HTML/CSS; JavaScript,JavaScript; Laravel; ClickUp,1,5,Licence,Master,Français (avancé); Anglais (débutant),Français (intermédiaire); Anglais (débutant),89.07,0.3333333333333333,1.0,1.2,0.8333333333333333,0.08,0.43,0.07,0.42
Content Manager,Canva; Content Strategy; Analytics; WordPress; Copywriting,Canva; Analytics,2,0,Licence,Licence,Français (intermédiaire); Anglais (avancé),Français (courant); Anglais (débutant),42.6,0.4,0.0,1.0,0.6666666666666666,0.84,0.05,0.05,0.06
UI/UX Designer,Figma; UX Research; Prototypage; Illustrator; Adobe XD; Photoshop,Figma; Illustrator; Photoshop; Prototypage; Adobe XD,3,5,Bac,Bac,Anglais (courant),Français (intermédiaire),72.83,0.8333333333333334,1.0,1.0,0.0,0.49,0.27,0.05,0.19
Social Media Manager,Meta Ads; Analytics; Instagram,Meta Ads; TikTok; Agile,2,1,Master,Licence,Français (courant); Anglais (courant),Français (intermédiaire),37.25,0.3333333333333333,0.5,0.6666666666666666,0.25,0.74,0.16,0.05,0.05
Data Analyst,Pandas; Excel; Python,Aucune information,2,6,Licence,Bac,Anglais (débutant); Français (intermédiaire),Français (courant); Anglais (courant),52.0,0.0,1.0,0.5,1.0,0.38,0.17,0.2,0.25
Data Analyst,Power BI; Data Visualization; Pandas; SQL,Git; Scrum,2,1,Licence,Licence,Anglais (débutant); Français (avancé),Français (intermédiaire); Anglais (intermédiaire),32.17,0.0,0.5,1.0,0.8333333333333333,0.53,0.24,0.06,0.17
Content Manager,Canva; Copywriting; SEO; Content Strategy; WordPress; Analytics,Git; PHP,4,1,Bac,Licence,Anglais (intermédiaire); Français (avancé),Français (intermédiaire),23.25,0.0,0.25,1.2,0.3333333333333333,0.48,0.33,0.1,0.09
Community Manager,TikTok; Facebook; Copywriting; Instagram; Analytics,Aucune information,2,5,Bac,Bac,Français (courant); Anglais (intermédiaire),Français (courant); Anglais (courant),30.0,0.0,1.0,1.0,1.0,0.7,0.14,0.08,0.08
Developpeur Mobile,Java; Git; Kotlin; Firebase; Dart,Java,3,5,Bac,Licence,Français (avancé); Anglais (intermédiaire),Français (intermédiaire); Anglais (avancé),38.0,0.2,1.0,1.2,0.8333333333333333,0.78,0.09,0.07,0.06
SEO/SEA,Keyword Research; SEO; SEM; Google Ads; Google Analytics; Search Console,Keyword Research; Google Ads; Google Analytics; Search Console,3,6,Bac,Master,Français (courant),Français (courant),90.07,0.6666666666666666,1.0,1.2,1.0,0.37,0.45,0.12,0.06
UI/UX Designer,Adobe XD; UX Research; Prototypage; Photoshop; Figma,Prototypage; UX Research; Photoshop; Illustrator; Adobe XD,2,3,Master,Licence,Anglais (intermédiaire); Français (avancé),Français (avancé); Anglais (avancé),89.53,0.8,1.0,0.6666666666666666,1.0,0.44,0.41,0.05,0.1
Developpeur Web,JavaScript; PHP; MySQL; Laravel; Git,PHP; JavaScript; Git; Laravel; HTML/CSS,1,6,Bac,Master,Anglais (débutant); Français (avancé),Français (courant),87.9,0.8,1.0,1.2,0.5,0.35,0.45,0.07,0.13
Chef de projet digital,Agile; ClickUp; Communication; Scrum,Communication,1,7,Master,Master,Français (courant),Français (avancé); Anglais (courant),47.5,0.25,1.0,1.0,0.75,0.68,0.16,0.1,0.06
Social Media Manager,LinkedIn; Analytics; TikTok; Meta Ads; Facebook,TikTok; Meta Ads,3,2,Bac,Bac,Français (intermédiaire); Anglais (débutant),Français (courant); Anglais (débutant),76.8,0.4,0.6666666666666666,1.0,1.0,0.17,0.39,0.29,0.15
Social Media Manager,Analytics; LinkedIn; Instagram; TikTok; Facebook,Analytics; Meta Ads; Facebook; TikTok; Instagram,3,0,Master,Licence,Anglais (avancé); Français (courant),Français (courant); Anglais (avancé),45.93,0.8,0.0,0.6666666666666666,1.0,0.32,0.45,0.08,0.15
Chef de projet digital,Scrum; Communication; Gestion de projet; Agile,Gestion de projet; Scrum; ClickUp; Agile; Asana; Communication,3,2,Bac,Master,Anglais (débutant),Français (courant); Anglais (débutant),83.93,1.0,0.6666666666666666,1.2,1.0,0.15,0.59,0.18,0.08
Graphiste,Branding; InDesign; Canva; Photoshop; Typographie; Illustrator,InDesign; Canva; Branding,4,6,Bac,Bac,Français (courant),Français (avancé),60.75,0.5,1.0,1.0,0.75,0.71,0.05,0.09,0.15
Community Manager,Analytics; Canva; TikTok,Aucune information,1,2,Master,Licence,Anglais (intermédiaire),Français (courant),64.67,0.0,1.0,0.6666666666666666,0.0,0.25,0.58,0.1,0.07
SEO/SEA,Google Ads; SEM; Google Analytics,Google Analytics; Google Ads; SEM; SEO,1,0,Licence,Licence,Anglais (avancé),Français (avancé),80.0,1.0,0.0,1.0,0.0,0.73,0.14,0.07,0.06
UI/UX Designer,Figma; Photoshop; Illustrator; Prototypage,Aucune information,2,6,Master,Bac,Anglais (débutant); Français (avancé),Français (avancé); Anglais (courant),17.67,0.0,1.0,0.3333333333333333,1.0,0.79,0.05,0.05,0.11
SEO/SEA,Google Analytics; Google Ads; Search Console,Keyword Research; SEM; SEO; Search Console; Google Ads,1,0,Bac,Master,Anglais (intermédiaire),Français (courant); Anglais (avancé),25.2,0.6666666666666666,0.0,1.2,1.0,0.18,0.7,0.06,0.06
UI/UX Designer,Illustrator; Figma; Photoshop; Prototypage; Adobe XD,Aucune information,2,4,Master,Master,Anglais (courant),Français (courant),12.0,0.0,1.0,1.0,0.0,0.83,0.06,0.06,0.05
Developpeur Web,Git; PHP; HTML/CSS; Laravel; MySQL; JavaScript,JavaScript; MySQL; Laravel; PHP; Git; HTML/CSS,3,1,Bac,Master,Français (avancé); Anglais (avancé),Français (intermédiaire); Anglais (courant),73.4,1.0,0.3333333333333333,1.2,0.8333333333333333,0.4,0.42,0.12,0.06
UI/UX Designer,Figma; Illustrator; UX Research; Adobe XD,Photoshop; Prototypage,2,6,Bac,Master,Français (intermédiaire),Français (courant); Anglais (débutant),27.0,0.0,1.0,1.2,1.0,0.75,0.06,0.1,0.09
Graphiste,InDesign; Photoshop; Typographie; Illustrator; Branding,InDesign; Illustrator; Canva,3,2,Licence,Master,Français (courant),Français (courant),78.53,0.4,0.6666666666666666,1.2,1.0,0.06,0.62,0.14,0.18
Developpeur Mobile,Flutter; Git; Dart; Firebase; Java; Kotlin,Java; Git; Dart,1,2,Bac,Licence,Anglais (intermédiaire); Français (intermédiaire),Français (intermédiaire); Anglais (avancé),80.2,0.5,1.0,1.2,1.0,0.42,0.47,0.06,0.05
SEO/SEA,Search Console; SEO; Keyword Research; Google Analytics; Google Ads,Keyword Research,3,3,Master,Bac,Français (intermédiaire),Français (courant); Anglais (avancé),40.67,0.2,1.0,0.3333333333333333,1.0,0.65,0.13,0.11,0.11
Social Media Manager,LinkedIn; Meta Ads; Facebook; TikTok; Analytics,Instagram; Meta Ads; TikTok; Analytics,4,2,Licence,Bac,Anglais (débutant); Français (avancé),Français (courant),52.2,0.6,0.5,0.5,0.5,0.22,0.53,0.18,0.07
UI/UX Designer,Prototypage; Illustrator; Figma; Adobe XD; Photoshop; UX Research,Aucune information,2,3,Master,Bac,Anglais (débutant); Français (avancé),Français (avancé),34.0,0.0,1.0,0.3333333333333333,0.5,0.33,0.06,0.15,0.46
Social Media Manager,Analytics; Facebook; TikTok; Instagram; Meta Ads,Instagram; Laravel,2,2,Licence,Master,Français (courant),Français (avancé); Anglais (avancé),35.65,0.2,1.0,1.2,0.75,0.8,0.06,0.07,0.07
Data Analyst,Pandas; Python; Data Visualization; SQL,Pandas; Python; SQL; Power BI; Data Visualization; Excel,4,5,Master,Bac,Anglais (intermédiaire); Français (courant),Français (courant),77.0,1.0,1.0,0.3333333333333333,0.5,0.31,0.28,0.15,0.26
Content Manager,SEO; Canva; WordPress; Content Strategy,Analytics; SEO,2,4,Licence,Licence,Français (intermédiaire),Français (avancé),94.0,0.25,1.0,1.0,1.0,0.08,0.27,0.33,0.32
Data Analyst,SQL; Excel; Python; Pandas; Power BI,SEO,2,4,Bac,Master,Français (intermédiaire); Anglais (avancé),Français (courant); Anglais (intermédiaire),21.7,0.0,1.0,1.2,0.8333333333333333,0.78,0.07,0.06,0.09
Content Manager,Canva; Content Strategy; Copywriting,Canva; WordPress,3,1,Licence,Licence,Anglais (avancé),Français (intermédiaire); Anglais (débutant),36.67,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.85,0.05,0.05,0.05
Social Media Manager,TikTok; Analytics; Meta Ads; Instagram,LinkedIn; Illustrator,2,1,Licence,Bac,Anglais (avancé),Français (intermédiaire); Anglais (courant),13.5,0.0,0.5,0.5,1.0,0.78,0.12,0.05,0.05
Content Manager,SEO; Analytics; Copywriting; Canva; Content Strategy; WordPress,WordPress; Analytics; Canva,2,1,Licence,Bac,Anglais (courant); Français (courant),Français (intermédiaire); Anglais (débutant),48.75,0.5,0.5,0.5,0.375,0.69,0.08,0.13,0.1
Community Manager,Copywriting; Canva; TikTok; Analytics; Facebook; Instagram,Facebook; Canva; Figma; Typographie,4,4,Bac,Licence,Anglais (intermédiaire); Français (courant),Français (courant); Anglais (intermédiaire),45.67,0.3333333333333333,1.0,1.2,1.0,0.83,0.06,0.05,0.06
Data Analyst,Pandas; Data Visualization; Python; Power BI; Excel,Pandas,4,0,Licence,Bac,Anglais (débutant); Français (courant),Français (courant); Anglais (avancé),15.3,0.2,0.0,0.5,1.0,0.19,0.66,0.07,0.08
Chef de projet digital,Scrum; Gestion de projet; Communication; ClickUp; Asana; Agile,Gestion de projet; Asana; ClickUp; Agile; Scrum,4,1,Master,Licence,Anglais (débutant); Français (avancé),Français (intermédiaire); Anglais (avancé),59.33,0.8333333333333334,0.25,0.6666666666666666,0.8333333333333333,0.22,0.34,0.25,0.19
Chef de projet digital,Communication; Gestion de projet; Scrum; Asana; Agile,Aucune information,4,1,Bac,Bac,Français (intermédiaire); Anglais (débutant),Français (intermédiaire); Anglais (intermédiaire),59.25,0.0,0.25,1.0,1.0,0.34,0.09,0.23,0.34
UI/UX Designer,UX Research; Adobe XD; Illustrator; Photoshop; Prototypage; Figma,Illustrator; Prototypage; UX Research; Adobe XD; Figma,2,4,Master,Licence,Anglais (débutant),Français (courant); Anglais (débutant),83.67,0.8333333333333334,1.0,0.6666666666666666,1.0,0.58,0.17,0.2,0.05
Chef de projet digital,Scrum; Asana; Gestion de projet; Agile,ClickUp; Asana,3,4,Licence,Licence,Anglais (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),62.5,0.25,1.0,1.0,1.0,0.5,0.37,0.07,0.06
SEO/SEA,Google Ads; Google Analytics; SEO; Search Console; SEM,Keyword Research,3,4,Licence,Master,Anglais (débutant); Français (avancé),Français (intermédiaire); Anglais (avancé),38.43,0.0,1.0,1.2,0.8333333333333333,0.61,0.18,0.08,0.13
Content Manager,SEO; WordPress; Analytics; Copywriting,Analytics; Canva,2,0,Bac,Master,Anglais (courant),Français (avancé),25.0,0.25,0.0,1.2,0.0,0.52,0.21,0.1,0.17
Chef de projet digital,Communication; Scrum; Asana; Gestion de projet; ClickUp; Agile,ClickUp,1,2,Master,Bac,Français (courant),Français (intermédiaire),39.67,0.16666666666666666,1.0,0.3333333333333333,0.5,0.57,0.22,0.14,0.07
Chef de projet digital,Communication; Asana; Agile; ClickUp,ClickUp; Gestion de projet,3,2,Master,Master,Anglais (courant),Français (courant); Anglais (avancé),37.17,0.25,0.6666666666666666,1.0,0.75,0.76,0.13,0.05,0.06
Developpeur Mobile,Dart; Git; Firebase; Java; Flutter,Java,1,3,Master,Licence,Anglais (courant); Français (intermédiaire),Français (courant); Anglais (avancé),74.85,0.2,1.0,0.6666666666666666,0.875,0.18,0.36,0.24,0.22
Developpeur Mobile,Dart; Git; Firebase; Flutter,Firebase; Kotlin; Java; Git; Flutter; Dart,1,5,Licence,Bac,Français (courant); Anglais (intermédiaire),Français (intermédiaire); Anglais (courant),92.75,1.0,1.0,0.5,0.75,0.46,0.31,0.06,0.17
Community Manager,Canva; Copywriting; TikTok; Analytics,Instagram,1,3,Master,Master,Anglais (avancé); Français (courant),Français (courant),72.5,0.0,1.0,1.0,0.5,0.14,0.25,0.34,0.27
Data Analyst,Pandas; SQL; Data Visualization; Excel; Python; Power BI,Pandas; Data Visualization; SQL; Excel; Python; Power BI,3,7,Bac,Bac,Français (avancé),Français (courant),100.0,1.0,1.0,1.0,1.0,0.69,0.13,0.08,0.1
Developpeur Mobile,Flutter; Git; Dart; Firebase; Java; Kotlin,Firebase; Flutter; Dart,1,0,Master,Licence,Anglais (avancé); Français (intermédiaire),Français (avancé); Anglais (intermédiaire),63.83,0.5,0.0,0.6666666666666666,0.8333333333333333,0.24,0.07,0.34,0.35
