poste,competences_requises,competences_candidat,experience_requise,experience_candidat,diplome_requis,diplome_candidat,langues_requises,langues_candidat,score_compatibilite
Developpeur Mobile,Kotlin; Java; Flutter; Firebase,Java; Git; Firebase; LinkedIn; Gestion de projet,3,6,Master,Licence,Français (avancé),Français (intermédiaire),65.0
SEO/SEA,Google Analytics; SEO; Google Ads; SEM; Search Console,Aucune information,4,2,Licence,Bac,Français (courant); Anglais (avancé),Français (intermédiaire),22.5
Data Analyst,Data Visualization; Pandas; Power BI,Power BI; Data Visualization; Python; Pandas,4,2,Bac,Licence,Anglais (courant),Français (intermédiaire); Anglais (avancé),90.0
Developpeur Web,HTML/CSS; Laravel; MySQL; Git,PHP; Git; HTML/CSS; MySQL; JavaScript; Laravel,1,2,Master,Master,Français (courant); Anglais (courant),Français (intermédiaire),95.0
Chef de projet digital,Scrum; ClickUp; Communication; Gestion de projet; Agile; Asana,Agile; Asana; Gestion de projet; ClickUp; Scrum; Communication,1,7,Licence,Licence,Anglais (débutant); Français (intermédiaire),Français (courant); Anglais (débutant),100.0
Chef de projet digital,Scrum; Communication; ClickUp; Agile; Gestion de projet,Communication; Scrum; ClickUp; Agile; Asana,1,5,Licence,Bac,Anglais (débutant); Français (avancé),Français (courant),76.5
Data Analyst,Python; SQL; Power BI; Excel; Data Visualization; Pandas,Excel; Pandas; Power BI; SQL; Data Visualization; Python,4,3,Licence,Master,Anglais (débutant); Français (avancé),Français (intermédiaire),90.0
Developpeur Mobile,Flutter; Kotlin; Git; Java; Dart; Firebase,Firebase; Git; TikTok; Agile,1,5,Licence,Bac,Anglais (courant),Français (intermédiaire); Anglais (avancé),55.8
SEO/SEA,SEM; Keyword Research; Google Ads; SEO,SEO; SEM; Google Analytics; Keyword Research; Search Console; Scrum,4,2,Master,Master,Anglais (avancé); Français (intermédiaire),Français (avancé),71.3
Community Manager,Canva; Analytics; Facebook; Copywriting,Aucune information,4,5,Master,Licence,Anglais (intermédiaire); Français (avancé),Français (courant); Anglais (avancé),37.5
Developpeur Web,MySQL; Laravel; HTML/CSS; PHP; Git; JavaScript,Git; PHP,2,5,Master,Bac,Français (courant),Français (avancé); Anglais (intermédiaire),55.8
SEO/SEA,Google Ads; Search Console; Google Analytics; SEM,Google Analytics; SEO; SEM; Keyword Research; Search Console,3,1,Bac,Master,Anglais (courant); Français (intermédiaire),Français (avancé),67.9
Data Analyst,Python; Power BI; Data Visualization; SQL; Pandas,Aucune information,4,7,Licence,Bac,Anglais (intermédiaire); Français (courant),Français (avancé); Anglais (débutant),37.5
Content Manager,Analytics; WordPress; Canva; Copywriting,Aucune information,3,2,Master,Licence,Français (courant); Anglais (courant),Français (intermédiaire); Anglais (débutant),30.8
Data Analyst,Power BI; Data Visualization; Excel; Pandas,Python; Power BI; Pandas; SQL; Data Visualization,4,3,Master,Licence,Anglais (débutant),Français (avancé); Anglais (intermédiaire),73.8
Social Media Manager,Analytics; TikTok; Meta Ads,LinkedIn; Facebook; Instagram; TikTok; Meta Ads; Analytics,1,1,Licence,Bac,Français (courant); Anglais (avancé),Français (courant),87.5
Data Analyst,Pandas; SQL; Data Visualization; Power BI,SQL; Data Visualization; Excel; Python; Power BI; Pandas; Copywriting,2,3,Master,Master,Anglais (courant),Français (avancé); Anglais (courant),100.0
Developpeur Web,HTML/CSS; Git; PHP; MySQL,JavaScript; Laravel; PHP,1,6,Licence,Master,Anglais (courant); Français (intermédiaire),Français (courant); Anglais (avancé),58.8
Developpeur Web,Git; HTML/CSS; JavaScript,JavaScript; Laravel; ClickUp,1,5,Licence,Master,Français (avancé); Anglais (débutant),Français (intermédiaire); Anglais (débutant),63.3
Content Manager,Canva; Content Strategy; Analytics; WordPress; Copywriting,Canva; Analytics,2,0,Licence,Licence,Français (intermédiaire); Anglais (avancé),Français (courant); Anglais (débutant),47.0
UI/UX Designer,Figma; UX Research; Prototypage; Illustrator; Adobe XD; Photoshop,Figma; Illustrator; Photoshop; Prototypage; Adobe XD,3,5,Bac,Bac,Anglais (courant),Français (intermédiaire),80.8
Social Media Manager,Meta Ads; Analytics; Instagram,Meta Ads; TikTok; Agile,2,1,Master,Licence,Français (courant); Anglais (courant),Français (intermédiaire),40.8
Data Analyst,Pandas; Excel; Python,Aucune information,2,6,Licence,Bac,Anglais (débutant); Français (intermédiaire),Français (courant); Anglais (courant),37.5
Data Analyst,Power BI; Data Visualization; Pandas; SQL,Git; Scrum,2,1,Licence,Licence,Anglais (débutant); Français (avancé),Français (intermédiaire); Anglais (intermédiaire),35.0
Content Manager,Canva; Copywriting; SEO; Content Strategy; WordPress; Analytics,Git; PHP,4,1,Bac,Licence,Anglais (intermédiaire); Français (avancé),Français (intermédiaire),25.0
Community Manager,TikTok; Facebook; Copywriting; Instagram; Analytics,Aucune information,2,5,Bac,Bac,Français (courant); Anglais (intermédiaire),Français (courant); Anglais (courant),45.0
Developpeur Mobile,Java; Git; Kotlin; Firebase; Dart,Java,3,5,Bac,Licence,Français (avancé); Anglais (intermédiaire),Français (intermédiaire); Anglais (avancé),56.0
SEO/SEA,Keyword Research; SEO; SEM; Google Ads; Google Analytics; Search Console,Keyword Research; Google Ads; Google Analytics; Search Console,3,6,Bac,Master,Français (courant),Français (courant),81.7
UI/UX Designer,Adobe XD; UX Research; Prototypage; Photoshop; Figma,Prototypage; UX Research; Photoshop; Illustrator; Adobe XD,2,3,Master,Licence,Anglais (intermédiaire); Français (avancé),Français (avancé); Anglais (avancé),81.5
Developpeur Web,JavaScript; PHP; MySQL; Laravel; Git,PHP; JavaScript; Git; Laravel; HTML/CSS,1,6,Bac,Master,Anglais (débutant); Français (avancé),Français (courant),84.0
Chef de projet digital,Agile; ClickUp; Communication; Scrum,Communication,1,7,Master,Master,Français (courant),Français (avancé); Anglais (courant),58.8
Social Media Manager,LinkedIn; Analytics; TikTok; Meta Ads; Facebook,TikTok; Meta Ads,3,2,Bac,Bac,Français (intermédiaire); Anglais (débutant),Français (courant); Anglais (débutant),60.3
Social Media Manager,Analytics; LinkedIn; Instagram; TikTok; Facebook,Analytics; Meta Ads; Facebook; TikTok; Instagram,3,0,Master,Licence,Anglais (avancé); Français (courant),Français (courant); Anglais (avancé),61.5
Chef de projet digital,Scrum; Communication; Gestion de projet; Agile,Gestion de projet; Scrum; ClickUp; Agile; Asana; Communication,3,2,Bac,Master,Anglais (débutant),Français (courant); Anglais (débutant),93.3
Graphiste,Branding; InDesign; Canva; Photoshop; Typographie; Illustrator,InDesign; Canva; Branding,4,6,Bac,Bac,Français (courant),Français (avancé),72.5
Community Manager,Analytics; Canva; TikTok,Aucune information,1,2,Master,Licence,Anglais (intermédiaire),Français (courant),27.5
SEO/SEA,Google Ads; SEM; Google Analytics,Google Analytics; Google Ads; SEM; SEO,1,0,Licence,Licence,Anglais (avancé),Français (avancé),70.0
UI/UX Designer,Figma; Photoshop; Illustrator; Prototypage,Aucune information,2,6,Master,Bac,Anglais (débutant); Français (avancé),Français (avancé); Anglais (courant),37.5
SEO/SEA,Google Analytics; Google Ads; Search Console,Keyword Research; SEM; SEO; Search Console; Google Ads,1,0,Bac,Master,Anglais (intermédiaire),Français (courant); Anglais (avancé),61.7
UI/UX Designer,Illustrator; Figma; Photoshop; Prototypage; Adobe XD,Aucune information,2,4,Master,Master,Anglais (courant),Français (courant),35.0
Developpeur Web,Git; PHP; HTML/CSS; Laravel; MySQL; JavaScript,JavaScript; MySQL; Laravel; PHP; Git; HTML/CSS,3,1,Bac,Master,Français (avancé); Anglais (avancé),Français (intermédiaire); Anglais (courant),86.7
UI/UX Designer,Figma; Illustrator; UX Research; Adobe XD,Photoshop; Prototypage,2,6,Bac,Master,Français (intermédiaire),Français (courant); Anglais (débutant),45.0
Graphiste,InDesign; Photoshop; Typographie; Illustrator; Branding,InDesign; Illustrator; Canva,3,2,Licence,Master,Français (courant),Français (courant),60.3
Developpeur Mobile,Flutter; Git; Dart; Firebase; Java; Kotlin,Java; Git; Dart,1,2,Bac,Licence,Anglais (intermédiaire); Français (intermédiaire),Français (intermédiaire); Anglais (avancé),72.5
SEO/SEA,Search Console; SEO; Keyword Research; Google Analytics; Google Ads,Keyword Research,3,3,Master,Bac,Français (intermédiaire),Français (courant); Anglais (avancé),48.5
Social Media Manager,LinkedIn; Meta Ads; Facebook; TikTok; Analytics,Instagram; Meta Ads; TikTok; Analytics,4,2,Licence,Bac,Anglais (débutant); Français (avancé),Français (courant),55.5
UI/UX Designer,Prototypage; Illustrator; Figma; Adobe XD; Photoshop; UX Research,Aucune information,2,3,Master,Bac,Anglais (débutant); Français (avancé),Français (avancé),32.5
Social Media Manager,Analytics; Facebook; TikTok; Instagram; Meta Ads,Instagram; Laravel,2,2,Licence,Master,Français (courant),Français (avancé); Anglais (avancé),56.0
Data Analyst,Pandas; Python; Data Visualization; SQL,Pandas; Python; SQL; Power BI; Data Visualization; Excel,4,5,Master,Bac,Anglais (intermédiaire); Français (courant),Français (courant),87.5
Content Manager,SEO; Canva; WordPress; Content Strategy,Analytics; SEO,2,4,Licence,Licence,Français (intermédiaire),Français (avancé),58.8
Data Analyst,SQL; Excel; Python; Pandas; Power BI,SEO,2,4,Bac,Master,Français (intermédiaire); Anglais (avancé),Français (courant); Anglais (intermédiaire),45.0
Content Manager,Canva; Content Strategy; Copywriting,Canva; WordPress,3,1,Licence,Licence,Anglais (avancé),Français (intermédiaire); Anglais (débutant),50.0
Social Media Manager,TikTok; Analytics; Meta Ads; Instagram,LinkedIn; Illustrator,2,1,Licence,Bac,Anglais (avancé),Français (intermédiaire); Anglais (courant),27.5
Content Manager,SEO; Analytics; Copywriting; Canva; Content Strategy; WordPress,WordPress; Analytics; Canva,2,1,Licence,Bac,Anglais (courant); Français (courant),Français (intermédiaire); Anglais (débutant),55.0
Community Manager,Copywriting; Canva; TikTok; Analytics; Facebook; Instagram,Facebook; Canva; Figma; Typographie,4,4,Bac,Licence,Anglais (intermédiaire); Français (courant),Français (courant); Anglais (intermédiaire),63.3
Data Analyst,Pandas; Data Visualization; Python; Power BI; Excel,Pandas,4,0,Licence,Bac,Anglais (débutant); Français (courant),Français (courant); Anglais (avancé),28.5
Chef de projet digital,Scrum; Gestion de projet; Communication; ClickUp; Asana; Agile,Gestion de projet; Asana; ClickUp; Agile; Scrum,4,1,Master,Licence,Anglais (débutant); Français (avancé),Français (intermédiaire); Anglais (avancé),68.3
Chef de projet digital,Communication; Gestion de projet; Scrum; Asana; Agile,Aucune information,4,1,Bac,Bac,Français (intermédiaire); Anglais (débutant),Français (intermédiaire); Anglais (intermédiaire),30.0
UI/UX Designer,UX Research; Adobe XD; Illustrator; Photoshop; Prototypage; Figma,Illustrator; Prototypage; UX Research; Adobe XD; Figma,2,4,Master,Licence,Anglais (débutant),Français (courant); Anglais (débutant),83.3
Chef de projet digital,Scrum; Asana; Gestion de projet; Agile,ClickUp; Asana,3,4,Licence,Licence,Anglais (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),58.8
SEO/SEA,Google Ads; Google Analytics; SEO; Search Console; SEM,Keyword Research,3,4,Licence,Master,Anglais (débutant); Français (avancé),Français (intermédiaire); Anglais (avancé),45.0
Content Manager,SEO; WordPress; Analytics; Copywriting,Analytics; Canva,2,0,Bac,Master,Anglais (courant),Français (avancé),28.7
Chef de projet digital,Communication; Scrum; Asana; Gestion de projet; ClickUp; Agile,ClickUp,1,2,Master,Bac,Français (courant),Français (intermédiaire),46.7
Chef de projet digital,Communication; Asana; Agile; ClickUp,ClickUp; Gestion de projet,3,2,Master,Master,Anglais (courant),Français (courant); Anglais (avancé),52.1
Developpeur Mobile,Dart; Git; Firebase; Java; Flutter,Java,1,3,Master,Licence,Anglais (courant); Français (intermédiaire),Français (courant); Anglais (avancé),48.5
Developpeur Mobile,Dart; Git; Firebase; Flutter,Firebase; Kotlin; Java; Git; Flutter; Dart,1,5,Licence,Bac,Français (courant); Anglais (intermédiaire),Français (intermédiaire); Anglais (courant),92.5
Community Manager,Canva; Copywriting; TikTok; Analytics,Instagram,1,3,Master,Master,Anglais (avancé); Français (courant),Français (courant),40.0
Data Analyst,Pandas; SQL; Data Visualization; Excel; Python; Power BI,Pandas; Data Visualization; SQL; Excel; Python; Power BI,3,7,Bac,Bac,Français (avancé),Français (courant),100.0
Developpeur Mobile,Flutter; Git; Dart; Firebase; Java; Kotlin,Firebase; Flutter; Dart,1,0,Master,Licence,Anglais (avancé); Français (intermédiaire),Français (avancé); Anglais (intermédiaire),45.0
Developpeur Web,Git; PHP; MySQL,Git; HTML/CSS,4,3,Bac,Licence,Anglais (débutant),Français (avancé); Anglais (intermédiaire),58.3
Social Media Manager,Instagram; Meta Ads; LinkedIn,Facebook; TikTok; LinkedIn; Meta Ads; Instagram; Analytics,2,1,Master,Licence,Français (avancé),Français (courant); Anglais (débutant),82.5
Developpeur Mobile,Kotlin; Git; Flutter,Flutter; Git; Kotlin; Java,2,3,Bac,Licence,Français (courant),Français (courant); Anglais (débutant),100.0
Developpeur Web,JavaScript; MySQL; Laravel; HTML/CSS,HTML/CSS,3,3,Master,Licence,Français (courant); Anglais (débutant),Français (avancé); Anglais (avancé),51.3
UI/UX Designer,Prototypage; Illustrator; Figma; Adobe XD; Photoshop; UX Research,Adobe XD; Prototypage; Illustrator,4,2,Licence,Master,Anglais (débutant),Français (courant); Anglais (courant),62.5
Developpeur Web,Git; JavaScript; Laravel; HTML/CSS; PHP; MySQL,MySQL; PHP; Laravel; JavaScript; Git; HTML/CSS,2,4,Licence,Bac,Anglais (débutant),Français (avancé),82.5
Content Manager,Canva; SEO; Copywriting; Content Strategy,Canva; SEO; Content Strategy; Analytics; WordPress,1,6,Bac,Licence,Français (intermédiaire),Français (intermédiaire); Anglais (courant),86.2
Social Media Manager,TikTok; Analytics; LinkedIn; Instagram; Facebook,LinkedIn; Facebook,4,1,Licence,Master,Anglais (intermédiaire),Français (courant); Anglais (débutant),52.0
Content Manager,Copywriting; SEO; Content Strategy; Canva; WordPress; Analytics,Analytics; Canva; Content Strategy; WordPress; SEO; Meta Ads; Instagram,2,1,Licence,Master,Anglais (avancé); Français (courant),Français (avancé),75.8
Developpeur Web,HTML/CSS; PHP; JavaScript,Laravel; PHP; HTML/CSS; MySQL; Git,4,4,Bac,Master,Français (avancé),Français (intermédiaire),81.7
Chef de projet digital,Agile; Communication; ClickUp; Gestion de projet; Asana; Scrum,Aucune information,3,3,Bac,Bac,Français (avancé); Anglais (courant),Français (intermédiaire); Anglais (courant),45.0
Social Media Manager,LinkedIn; Facebook; TikTok; Instagram; Analytics,Facebook; Analytics; Meta Ads; Instagram; TikTok,2,3,Master,Bac,Anglais (débutant),Français (avancé); Anglais (débutant),81.5
Chef de projet digital,Communication; Asana; Agile; Gestion de projet; ClickUp; Scrum,Aucune information,2,4,Master,Master,Anglais (intermédiaire); Français (intermédiaire),Français (avancé); Anglais (courant),45.0
Social Media Manager,Instagram; Meta Ads; Analytics,LinkedIn; Meta Ads; TikTok; Instagram,4,1,Bac,Master,Français (courant); Anglais (débutant),Français (courant),61.7
Social Media Manager,Facebook; LinkedIn; Instagram,TikTok; LinkedIn; Meta Ads; Facebook; Instagram,1,3,Licence,Licence,Anglais (avancé); Français (avancé),Français (intermédiaire); Anglais (intermédiaire),100.0
SEO/SEA,Keyword Research; Google Analytics; Google Ads,Search Console; Google Ads; SEM; Keyword Research; Google Analytics,1,2,Bac,Licence,Français (courant); Anglais (avancé),Français (courant); Anglais (débutant),100.0
UI/UX Designer,Adobe XD; Illustrator; Prototypage,Prototypage; Figma,4,6,Bac,Licence,Français (intermédiaire),Français (avancé),63.3
SEO/SEA,SEO; Keyword Research; Google Ads; Google Analytics; Search Console; SEM,Google Ads; SEO; Search Console,2,3,Bac,Licence,Anglais (intermédiaire); Français (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),72.5
Community Manager,Analytics; Canva; Instagram; Copywriting,Copywriting; Canva,1,2,Bac,Licence,Français (courant); Anglais (débutant),Français (intermédiaire); Anglais (courant),72.5
Community Manager,Copywriting; Instagram; Canva; Analytics; Facebook,Canva; TikTok,4,3,Licence,Licence,Anglais (avancé); Français (courant),Français (courant); Anglais (débutant),51.0
Content Manager,Analytics; Content Strategy; WordPress; Copywriting,Copywriting; WordPress; Canva; Analytics; SEO; Content Strategy,4,1,Master,Licence,Anglais (débutant),Français (avancé),67.5
SEO/SEA,SEM; Keyword Research; Search Console,Keyword Research; Search Console; SEO; SEM; Google Analytics,4,2,Master,Bac,Français (courant); Anglais (courant),Français (intermédiaire); Anglais (courant),82.5
SEO/SEA,SEM; SEO; Keyword Research; Search Console; Google Ads,SEM; Search Console,2,4,Master,Master,Anglais (courant),Français (courant); Anglais (intermédiaire),67.0
Chef de projet digital,Asana; ClickUp; Agile,Asana; ClickUp,1,8,Master,Licence,Anglais (courant),Français (courant); Anglais (avancé),74.2
Chef de projet digital,Agile; Asana; Communication; Gestion de projet; ClickUp,Scrum; Gestion de projet; Communication; Asana; Agile,1,6,Licence,Licence,Français (courant),Français (courant); Anglais (avancé),89.0
UI/UX Designer,UX Research; Illustrator; Prototypage; Figma,Adobe XD; UX Research; Photoshop; Illustrator; Figma,2,6,Licence,Master,Anglais (courant); Français (avancé),Français (intermédiaire); Anglais (avancé),86.2
Chef de projet digital,Asana; ClickUp; Communication,ClickUp; Gestion de projet; Power BI; Canva,4,4,Master,Master,Français (courant); Anglais (avancé),Français (courant); Anglais (intermédiaire),63.3
Developpeur Mobile,Firebase; Flutter; Dart; Git,Git; Kotlin; Dart; Java,2,5,Master,Master,Anglais (avancé); Français (intermédiaire),Français (intermédiaire),67.5
UI/UX Designer,Photoshop; Adobe XD; Prototypage; Illustrator; UX Research; Figma,Illustrator; Prototypage; UX Research; Adobe XD; Photoshop; Figma,3,3,Bac,Licence,Français (intermédiaire); Anglais (avancé),Français (avancé); Anglais (débutant),100.0
Graphiste,Photoshop; InDesign; Illustrator; Branding; Canva,Photoshop; InDesign; Branding; Canva,2,0,Licence,Master,Français (courant),Français (courant),69.0
Graphiste,Photoshop; Illustrator; InDesign; Typographie; Branding; Canva,Illustrator; Typographie; InDesign; Canva; Branding; Photoshop,3,6,Bac,Bac,Français (intermédiaire),Français (courant),100.0
Developpeur Web,JavaScript; MySQL; Laravel; Git; HTML/CSS,Git; PHP; MySQL; HTML/CSS; JavaScript; Laravel; TikTok; Analytics,3,1,Master,Master,Français (courant); Anglais (avancé),Français (intermédiaire); Anglais (intermédiaire),86.7
Community Manager,Canva; Analytics; Facebook; TikTok; Copywriting; Instagram,Copywriting; Facebook,3,6,Master,Master,Anglais (débutant); Français (intermédiaire),Français (courant); Anglais (avancé),63.3
Social Media Manager,Meta Ads; LinkedIn; Instagram,TikTok; Analytics; Instagram; Meta Ads; LinkedIn; Facebook,4,6,Bac,Bac,Anglais (courant); Français (intermédiaire),Français (courant); Anglais (courant),100.0
Developpeur Mobile,Git; Kotlin; Flutter; Dart,Firebase; Branding,2,0,Master,Licence,Anglais (avancé),Français (intermédiaire),7.5
SEO/SEA,Search Console; Google Ads; SEM; Google Analytics; SEO,Aucune information,1,4,Bac,Master,Anglais (intermédiaire),Français (avancé); Anglais (débutant),45.0
Social Media Manager,LinkedIn; Instagram; Analytics,Aucune information,1,2,Bac,Bac,Français (intermédiaire); Anglais (intermédiaire),Français (intermédiaire); Anglais (débutant),45.0
UI/UX Designer,Prototypage; UX Research; Figma,Prototypage; Illustrator; Adobe XD,2,1,Licence,Bac,Français (intermédiaire); Anglais (avancé),Français (courant); Anglais (avancé),45.8
SEO/SEA,Google Ads; Search Console; Google Analytics; SEM; SEO,Keyword Research,2,1,Master,Master,Français (intermédiaire); Anglais (courant),Français (avancé); Anglais (courant),35.0
Graphiste,Canva; Photoshop; Illustrator; Typographie; Branding; InDesign,Branding; Canva; InDesign; Typographie; Photoshop; Illustrator,3,6,Licence,Bac,Français (courant),Français (avancé),92.5
Developpeur Mobile,Firebase; Dart; Flutter,Git; Flutter; Dart; Kotlin; Java,1,4,Licence,Bac,Anglais (intermédiaire); Français (intermédiaire),Français (courant),69.2
Social Media Manager,Meta Ads; Facebook; TikTok; LinkedIn; Instagram; Analytics,Aucune information,1,4,Bac,Bac,Anglais (intermédiaire),Français (intermédiaire); Anglais (courant),45.0
